id;Nodo;Contratista;Subcontratista;Fecha;percDsFecPre;percDsFecPost;percUsFecPre(%);percUsFecPost(%);percSnrDs(dB);percSnrUs(dB);percPh;percThroughput(%);QD;QU;QR;
62e8e38ae502162143036a01;LV04AA;SERVICIOS INTEGRADOS Y CONSTRUCCIONES ESPECIALES SICE S.A ;SERVICIOS INTEGRADOS Y CONSTRUCCIONES ESPECIALES SICE S.A;01-07-2022 00:00:00;0.00027922540642735;0.00003492589;16.3;23.2;42.5;38.7;9.375;28.571428571429;0.5;0.4;0.44;
62e8e38ae502162143036a02;LV04AB;SERVICIOS INTEGRADOS Y CONSTRUCCIONES ESPECIALES SICE S.A ;SERVICIOS INTEGRADOS Y CONSTRUCCIONES ESPECIALES SICE S.A;01-07-2022 00:00:00;0.00001918987;0.00000321084;0;0;44.8;40.4;9.2;28.571428571429;0.5;0.6;0.56;
62e8e38ae502162143036a03;LV04AC;SERVICIOS INTEGRADOS Y CONSTRUCCIONES ESPECIALES SICE S.A ;SERVICIOS INTEGRADOS Y CONSTRUCCIONES ESPECIALES SICE S.A;01-07-2022 00:00:00;0.0000168441;0.00000446656;11.8;0.4;43.7;31.9;9.3076923076923;28.571428571429;0.5;0.6;0.56;
62e8e38ae502162143036a04;LV04AD;SERVICIOS INTEGRADOS Y CONSTRUCCIONES ESPECIALES SICE S.A ;SERVICIOS INTEGRADOS Y CONSTRUCCIONES ESPECIALES SICE S.A;01-07-2022 00:00:00;0.00011747972962174;0.00000739482;0.1;0;44.2;38.9;7.3333333333333;85.714285714286;0.5;0.6;0.56;
62e8e38ae502162143036a05;LV04BB;SERVICIOS INTEGRADOS Y CONSTRUCCIONES ESPECIALES SICE S.A ;SERVICIOS INTEGRADOS Y CONSTRUCCIONES ESPECIALES SICE S.A;01-07-2022 00:00:00;0.00000063696;0.00000130231;0.2;0.1;44.2;37.7;9.2;85.714285714286;0.6;0.6;0.6;
62e8e38ae502162143036a06;LV04BC;SERVICIOS INTEGRADOS Y CONSTRUCCIONES ESPECIALES SICE S.A ;SERVICIOS INTEGRADOS Y CONSTRUCCIONES ESPECIALES SICE S.A;01-07-2022 00:00:00;0.0057386038381353;0.0012404086977025;62.5;8.2;42.7;33.7;9.364406779661;85.714285714286;0.5;0.3;0.38;
62e8e38ae502162143036a07;SJ07AA;Epica Nero Oeste;EPICA NERO S.A.;01-07-2022 00:00:00;0.00060503449328992;0.0001710041379722;0.3;0;42.3;39.2;9.6610169491525;100;0.5;1;0.8;
62e8e38ae502162143036a08;SJ07AB;Epica Nero Oeste;EPICA NERO S.A.;01-07-2022 00:00:00;0.00002230598;0.00000193731;0.1;0;43.7;37;9.7826086956522;100;0.5;1;0.8;
62e8e38ae502162143036a09;SJ07AC;Epica Nero Oeste;EPICA NERO S.A.;01-07-2022 00:00:00;0.00000945175;0.00000001432;0;0;43.7;39.7;8.9473684210526;;1;0.6;0.76;
62e8e38ae502162143036a0a;SJ07AD;Epica Nero Oeste;EPICA NERO S.A.;01-07-2022 00:00:00;0.00000099982;0.00000003762;0.2;0;42.7;36.4;9.622641509434;100;1;1;1;
62e8e38ae502162143036a0b;SJ07BA;Epica Nero Oeste;EPICA NERO S.A.;01-07-2022 00:00:00;0.0093354813592641;0.0037069315370138;1.8;0;43.1;40.4;9.4230769230769;100;0.5;1;0.8;
62e8e38ae502162143036a0c;SJ07BB;Epica Nero Oeste;EPICA NERO S.A.;01-07-2022 00:00:00;0.00000030104;0;36.6;7.4;43.3;32;8.7313432835821;100;1;0.7;0.82;
62e8e38ae502162143036a0d;SJ07BC;Epica Nero Oeste;EPICA NERO S.A.;01-07-2022 00:00:00;0.00000807831;0;19.3;10.3;43.3;37.5;7.8571428571429;100;1;0.8;0.88;
62e8e38ae502162143036a0e;SJ07BD;Epica Nero Oeste;EPICA NERO S.A.;01-07-2022 00:00:00;0.00000844665;0.00000302263;0.5;0;42.9;39.1;9.5744680851064;100;0.6;1;0.84;
62e8e38ae502162143036a0f;SJ07CA;Epica Nero Oeste;EPICA NERO S.A.;01-07-2022 00:00:00;0.00051454363277227;0.00016312977364692;0;0;43.2;40.5;9.5833333333333;100;0.5;1;0.8;
62e8e38ae502162143036a10;SJ07CB;Epica Nero Oeste;EPICA NERO S.A.;01-07-2022 00:00:00;0.00016137766867627;0.00001640639;0;0;43.1;40.1;9.4927536231884;85.714285714286;0.5;0.6;0.56;
62e8e38ae502162143036a11;SJ07CC;Epica Nero Oeste;EPICA NERO S.A.;01-07-2022 00:00:00;0.00044808615161981;0.00011698107002811;8.4;0;41.1;40.7;8.59375;85.714285714286;0.5;0.6;0.56;
62e8e38ae502162143036a12;SJ07CD;Epica Nero Oeste;EPICA NERO S.A.;01-07-2022 00:00:00;0.00004499091;0.00000161782;33.2;0.6;43.1;33.2;9.2553191489362;85.714285714286;0.5;0.5;0.5;
62e8e38ae502162143036a13;SJ14AA;Epica Nero Oeste;EPICA NERO S.A.;01-07-2022 00:00:00;0.0010856631540307;0.00033657295171897;7.9;0;42.9;33.7;9.0789473684211;100;0.5;1;0.8;
62e8e38be502162143036a14;SJ14AB;Epica Nero Oeste;EPICA NERO S.A.;01-07-2022 00:00:00;0.00000118135;0;0;0;44.1;41.6;9.5918367346939;100;1;1;1;
62e8e38be502162143036a15;SJ14AC;Epica Nero Oeste;EPICA NERO S.A.;01-07-2022 00:00:00;0.00000034493;0.00000004037;0;0;43.2;37.2;9.3859649122807;100;1;1;1;
62e8e38be502162143036a16;SJ14AD;Epica Nero Oeste;EPICA NERO S.A.;01-07-2022 00:00:00;0.00036781789387682;0.00007600287;3.3;0;43.3;35.8;9.6951219512195;100;0.5;1;0.8;
62e8e38be502162143036a17;SJ14BA;Epica Nero Oeste;EPICA NERO S.A.;01-07-2022 00:00:00;0.00000002965;0;3.2;9.5;44;40.2;9.5205479452055;100;1;0.8;0.88;
62e8e38be502162143036a18;SJ14BD;Epica Nero Oeste;EPICA NERO S.A.;01-07-2022 00:00:00;0.00055932017956404;0.00013215327554566;0;0;43.7;40;9.7;100;0.5;1;0.8;
62e8e38be502162143036a19;SJ14BB;Epica Nero Oeste;EPICA NERO S.A.;01-07-2022 00:00:00;0.00000002272;0;61.5;1.2;43.7;37.9;9.6875;100;1;0.9;0.94;
62e8e38be502162143036a1a;SJ14BC;Epica Nero Oeste;EPICA NERO S.A.;01-07-2022 00:00:00;0.00006801505;0.00000451174;34.9;1;43.3;26.6;8.8659793814433;100;0.5;0.9;0.74;
62e8e38be502162143036a1b;FR11AA;Sur Red;SUR RED S.A;01-07-2022 00:00:00;0.00000109646;0.00000082765;0;0;43.6;38.7;9.5833333333333;100;1;1;1;
62e8e38be502162143036a1c;FR11AB;Sur Red;SUR RED S.A;01-07-2022 00:00:00;0.00000492322;0.00000069242;5.1;0;43.7;40.6;9.6153846153846;100;1;1;1;
62e8e38be502162143036a1d;FR11AC;Sur Red;SUR RED S.A;01-07-2022 00:00:00;0.00000180958;0.00000436365;0;0;43.6;40.2;8.695652173913;100;0.6;1;0.84;
62e8e38be502162143036a1e;FR11AD;Sur Red;SUR RED S.A;01-07-2022 00:00:00;0.00000430725;0.00000207346;0;0;42;41.5;9.8148148148148;100;0.6;1;0.84;
62e8e38be502162143036a1f;FR11BA;Sur Red;SUR RED S.A;01-07-2022 00:00:00;0.00000177745;0.00000867942;0.6;0;44.3;41.4;9.7619047619048;100;0.6;1;0.84;
62e8e38be502162143036a20;FR11BB;Sur Red;SUR RED S.A;01-07-2022 00:00:00;0.00048100020834301;0.00004519849;2.1;0;42.6;39.3;9.6052631578947;100;0.5;1;0.8;
62e8e38be502162143036a21;FR11BC;Sur Red;SUR RED S.A;01-07-2022 00:00:00;0.00000295227;0.00000236;0;0;42.2;41.6;9.25;100;0.6;1;0.84;
62e8e38be502162143036a22;FR11BD;Sur Red;SUR RED S.A;01-07-2022 00:00:00;0.00013260299112449;0.00000250215;0;0;43.2;41.8;9.5833333333333;100;0.5;1;0.8;
62e8e38be502162143036a23;FR11CA;Sur Red;SUR RED S.A;01-07-2022 00:00:00;0.00000048811;0.00000110807;3.5;0;42.5;41.3;9.7222222222222;100;0.6;1;0.84;
62e8e38be502162143036a24;FR11CB;Sur Red;SUR RED S.A;01-07-2022 00:00:00;0.00018719000341772;0.00071570855211497;0;0;43.3;41.6;8.75;100;0.5;1;0.8;
62e8e38be502162143036a25;FR11CC;Sur Red;SUR RED S.A;01-07-2022 00:00:00;0.0000010951;0.00000127056;11.6;4.5;42.3;38;9.7169811320755;100;0.6;0.8;0.72;
62e8e38be502162143036a26;FR11CD;Sur Red;SUR RED S.A;01-07-2022 00:00:00;0.00091038701259851;0.00023893769191024;0;0;42.8;40.4;9.7916666666667;100;0.5;1;0.8;
62e8e38be502162143036a27;FR11DA;Sur Red;SUR RED S.A;01-07-2022 00:00:00;0.00028330819013413;0.00006310006;0;0;43.7;32.5;9;100;0.5;1;0.8;
62e8e38be502162143036a28;FR11DB;Sur Red;SUR RED S.A;01-07-2022 00:00:00;0.00000001595;0;9.6;0.1;43.9;39.5;9.5454545454545;100;1;1;1;
62e8e38be502162143036a29;FR11DC;Sur Red;SUR RED S.A;01-07-2022 00:00:00;0.00000158141;0.00000113644;2.4;0.6;43.7;40.6;9.7560975609756;100;0.6;1;0.84;
62e8e38be502162143036a2a;FR11DD;Sur Red;SUR RED S.A;01-07-2022 00:00:00;0.00004327366;0.00000043266;0;0;44;40.3;9.7727272727273;100;0.9;1;0.96;
62e8e38be502162143036a2b;FR11EA;Sur Red;SUR RED S.A;01-07-2022 00:00:00;0.00000195534;0.00000116957;0;0;42.8;38.4;9.2156862745098;100;0.6;1;0.84;
62e8e38be502162143036a2c;FR11EB;Sur Red;SUR RED S.A;01-07-2022 00:00:00;0.00000005778;0.00000007188;1.6;0;44.4;36.6;9.7368421052632;100;1;1;1;
62e8e38be502162143036a2d;FR11EC;Sur Red;SUR RED S.A;01-07-2022 00:00:00;0.00002608766;0.00001083213;49.9;0.6;43.2;37.8;8.75;100;0.5;0.9;0.74;
62e8e38be502162143036a2e;LV09AA;SERVICIOS INTEGRADOS Y CONSTRUCCIONES ESPECIALES SICE S.A ;SERVICIOS INTEGRADOS Y CONSTRUCCIONES ESPECIALES SICE S.A;01-07-2022 00:00:00;0.0000011663;0.00000020018;0.2;0;44.3;38.5;8.8888888888889;85.714285714286;1;0.6;0.76;
62e8e38be502162143036a2f;LV09AB;SERVICIOS INTEGRADOS Y CONSTRUCCIONES ESPECIALES SICE S.A ;SERVICIOS INTEGRADOS Y CONSTRUCCIONES ESPECIALES SICE S.A;01-07-2022 00:00:00;0.00005478124;0.0000563108;11.4;0.4;42.9;32.3;9.2105263157895;85.714285714286;0.5;0.6;0.56;
62e8e38be502162143036a30;LV09AC;SERVICIOS INTEGRADOS Y CONSTRUCCIONES ESPECIALES SICE S.A ;SERVICIOS INTEGRADOS Y CONSTRUCCIONES ESPECIALES SICE S.A;01-07-2022 00:00:00;0.00000786328;0.00000098809;0;0;44.5;40.7;9.1860465116279;85.714285714286;0.6;0.6;0.6;
62e8e38be502162143036a31;LV09AD;SERVICIOS INTEGRADOS Y CONSTRUCCIONES ESPECIALES SICE S.A ;SERVICIOS INTEGRADOS Y CONSTRUCCIONES ESPECIALES SICE S.A;01-07-2022 00:00:00;0.00050399047785169;0.00001207089;0;0;43.6;39.7;9.4444444444444;85.714285714286;0.5;0.6;0.56;
